Village,Gram Panchayat,Block,District,State,Ec-Arresting Distress Migration,Ec-Export import,Ec-HH Income,Ec-Livelihood Basket,Ec-Youth Employment,Env-Agro Ecology,Env-Energy,Env-Forest,Env-Soil,Env-Water,S-Gender & Inclusion,S-Health & Nutrition,S-Institution,S-WASH
Harry,Harry,Kusmi,Balrampur,Chhattisgarh,61,20,19,31,54,35,16,53,61,36,33,57,41,20
Ghughari khurd,Ghughari khurd,Shankargarh,Balrampur,Chhattisgarh,50,40,19,31,52,36,15,38,63,37,32,46,37,25
Pahari,Pahari,Shankargarh,Balrampur,Chhattisgarh,70,40,27,34,28,39,17,80,52,39,32,46,37,28
Farsara,Farsara,Bakawand,Bastar,Chhattisgarh,70,20,55,22,50,10,6,47,66,33,35,52,25,31
Chhote Aamabal,Chhote Aamabal,Bastar,Bastar,Chhattisgarh,98,20,45,58,21,52,9,57,53,30,44,43,37,60
Kawadgaon,Kawadgaon,Bastar,Bastar,Chhattisgarh,72,20,34,70,8,36,25,54,66,42,34,47,27,63
Dhamindih,Saraipatera,Bodla,Kabirdham,Chhattisgarh,89,20,52,42,25,28,7,47,51,23,28,46,24,74
AAMAKOT,AMODI,ANTAGARH,Kanker,Chhattisgarh,100,100,47,52,9,25,21,54,36,17,43,44,25,43
PUNGAON,MASBARS,ANTAGARH,Kanker,Chhattisgarh,95,100,44,52,8,35,2,50,52,35,51,44,46,58
Silibahar,Dhaneli,Bhanupratappur,Kanker,Chhattisgarh,93,20,64,74,0,16,0,81,56,14,48,58,25,27
Babukohaka,Golkumhada,Charama,Kanker,Chhattisgarh,98,40,38,69,2,35,42,46,33,50,62,51,58,79
Damkasa,Kasawahi,Charama,Kanker,Chhattisgarh,94,40,36,74,4,40,25,81,52,43,49,32,49,75
Ratedih,Kurrutola,Charama,Kanker,Chhattisgarh,93,60,51,17,0,33,30,86,46,26,49,56,42,83
JHARRIPARA,BARHELI,DURGUKONDAL,Kanker,Chhattisgarh,88,100,73,61,0,16,23,59,34,15,38,43,24,80
ENHUR,HAMATWAHI,DURGUKONDAL,Kanker,Chhattisgarh,94,100,64,60,14,13,9,57,52,15,51,42,14,60
